Nama file,Ukuran (bytes),Ukuran (KB),Lokasi,Digunakan dimana,Status
wikaru-app-icon-192.png,10242,10.0,assets/brand/wikaru-app-icon-192.png,sw.js; sw-v35.js; manifest.webmanifest; index.html; qa/test-professional-v33.mjs,USED_RUNTIME_OR_BUILD
wikaru-app-icon-512.png,32975,32.2,assets/brand/wikaru-app-icon-512.png,sw.js; sw-v35.js; manifest.webmanifest; qa/test-professional-v33.mjs,USED_RUNTIME_OR_BUILD
wikaru-app-icon.svg,1004,1.0,assets/brand/wikaru-app-icon.svg,sw.js; sw-v35.js; manifest.webmanifest; qa/test-professional-v33.mjs,USED_RUNTIME_OR_BUILD
wikaru-social-preview.png,85340,83.3,assets/brand/wikaru-social-preview.png,sw.js; sw-v35.js; index.html; qa/test-professional-v33.mjs; assets/js/experience-v33.js,USED_RUNTIME_OR_BUILD
wikaru-social-preview.svg,3591,3.5,assets/brand/wikaru-social-preview.svg,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
account-offline.css,11052,10.8,assets/css/account-offline.css,sw.js; sw-v35.js; index.html; qa/test-continuity-timer.mjs; qa/measure.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
app-management.css,5360,5.2,assets/css/app-management.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/measure.mjs; qa/test-supabase-integration.mjs; qa/validate.mjs; qa/test-app-management.mjs,USED_RUNTIME_OR_BUILD
app.css,1179061,1151.4,assets/css/app.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-motion-safety.mjs; qa/test-homepage-static.mjs; qa/measure.mjs; qa/test-responsive-static.mjs,USED_RUNTIME_OR_BUILD
asset-system.css,11788,11.5,assets/css/asset-system.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-profile-assets.mjs; qa/test-motion-safety.mjs; qa/test-homepage-static.mjs; qa/measure.mjs,USED_RUNTIME_OR_BUILD
cursor-v35.css,2547,2.5,assets/css/cursor-v35.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-visible-assets-v27.mjs; qa/test-cursor-quiz-guide.mjs; qa/test-cursor-runtime.mjs; qa/measure.mjs,USED_RUNTIME_OR_BUILD
deploy-v35.css,27433,26.8,assets/css/deploy-v35.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-visible-assets-v27.mjs; qa/measure.mjs; qa/validate.mjs; qa/test-github-deploy-v35.mjs,USED_RUNTIME_OR_BUILD
learning-hub.css,22880,22.3,assets/css/learning-hub.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-learning-hub.mjs; qa/measure.mjs; qa/test-supabase-integration.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
mascot.css,12529,12.2,assets/css/mascot.css,sw.js; sw-v35.js; index.html; qa/test-mascot-system.mjs; qa/measure.mjs; qa/test-supabase-integration.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
professional-v32.css,20724,20.2,assets/css/professional-v32.css,sw.js; sw-v35.js; index.html; qa/test-professional-v32.mjs; qa/test-homepage-static.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
professional-v33.css,9194,9.0,assets/css/professional-v33.css,sw.js; sw-v35.js; index.html; qa/test-professional-v33.mjs,USED_RUNTIME_OR_BUILD
question-page-final.css,14601,14.3,assets/css/question-page-final.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-approved-question-page.mjs; qa/test-visible-assets-v27.mjs; qa/test-professional-v32.mjs; qa/measure.mjs,USED_RUNTIME_OR_BUILD
quiz-guide.css,6991,6.8,assets/css/quiz-guide.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-approved-question-page.mjs; qa/test-cursor-quiz-guide.mjs; qa/measure.mjs; qa/test-responsive-static.mjs,USED_RUNTIME_OR_BUILD
visual-v38.css,4492,4.4,assets/css/visual-v38.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-approved-question-page.mjs; qa/test-cursor-quiz-guide.mjs; qa/test-region-assets.mjs; qa/V38_DELETED_FILES.txt,USED_RUNTIME_OR_BUILD
